Id,Age,BirthId,FirstName,Height,LastName,Name,Nationality,Number,Photo,Position,TeamId
410396,17,,"",,"","M. Liberali","",30,https://media.api-sports.io/football/players/410396.png,Attacker,489
410398,18,,"",,"","F. Desole","",87,https://media.api-sports.io/football/players/410398.png,Defender,503
410399,18,,"",,"","F. Pagnucco","",46,https://media.api-sports.io/football/players/410399.png,Defender,496
410400,18,,"",,"","F. Plaia","",45,https://media.api-sports.io/football/players/410400.png,Goalkeeper,503
411424,19,,"",,"","Miquel Salas","",28,https://media.api-sports.io/football/players/411424.png,Midfielder,798
411702,19,,"",,"","Pau Cabanes","",33,https://media.api-sports.io/football/players/411702.png,Attacker,533
411751,19,,"",,"","Hugo de Llanos García","",40,https://media.api-sports.io/football/players/411751.png,Midfielder,541
411755,18,,"",,"","A. Pavlešić","",37,https://media.api-sports.io/football/players/411755.png,Goalkeeper,157
412152,18,,"",,"","Jayden Moore","",57,https://media.api-sports.io/football/players/412152.png,Defender,41
412704,18,,"",,"","Noah Darvich","",34,https://media.api-sports.io/football/players/412704.png,Midfielder,529
412711,18,,"",,"","Saïmon Bouabré","",42,https://media.api-sports.io/football/players/412711.png,Midfielder,91
412737,18,,"",,"","Raúl Jiménez Latorre","",34,https://media.api-sports.io/football/players/412737.png,Goalkeeper,532
412759,18,,"",,"","J. Canvot","",29,https://media.api-sports.io/football/players/412759.png,Defender,96
412760,17,,"",,"","M. Niflore","",60,https://media.api-sports.io/football/players/412760.png,Goalkeeper,96
412847,18,,"",,"","Oluwaseun God Power Osaro Ogbemudia","",41,https://media.api-sports.io/football/players/412847.png,Defender,182
412871,18,,"",,"","W. Kuhn","",36,https://media.api-sports.io/football/players/412871.png,Defender,197
412872,18,,"",,"","D. Janse","",36,https://media.api-sports.io/football/players/412872.png,Defender,194
412873,18,,"",,"","A. Sliti","",57,https://media.api-sports.io/football/players/412873.png,Attacker,209
412879,18,,"",,"","J. Mesbahi","",24,https://media.api-sports.io/football/players/412879.png,Defender,415
412882,18,,"",,"","P. Ugwu","",45,https://media.api-sports.io/football/players/412882.png,Defender,194
413065,18,,"",,"","Noahkai Kai Daniel Banks","",40,https://media.api-sports.io/football/players/413065.png,Defender,170
413072,18,,"",,"","Nuha Jatta","",38,https://media.api-sports.io/football/players/413072.png,Midfielder,173
413074,19,,"",,"","D. van Oorschot","",20,https://media.api-sports.io/football/players/413074.png,Attacker,206
413502,20,,"",,"","Mateo Flores","",46,https://media.api-sports.io/football/players/413502.png,Midfielder,543
414441,17,,"",,"","A. Montero","",42,https://media.api-sports.io/football/players/414441.png,Defender,496
415001,19,,"",,"","Deivid Washington","",36,https://media.api-sports.io/football/players/415001.png,Attacker,49
415089,19,,"",,"","Gabriel Moscardo","",19,https://media.api-sports.io/football/players/415089.png,Midfielder,93
415245,19,,"",,"","S. Bultman","",35,https://media.api-sports.io/football/players/415245.png,Defender,206
415431,19,,"",,"","S. El Mourabet","",,https://media.api-sports.io/football/players/415431.png,Midfielder,95
416268,17,,"",,"","Fernando Dickes","",33,https://media.api-sports.io/football/players/416268.png,Goalkeeper,173
416341,19,,"",,"","A. Bais","",,https://media.api-sports.io/football/players/416341.png,Attacker,426
416697,16,,"",,"","J. Porter","",92,https://media.api-sports.io/football/players/416697.png,Goalkeeper,42
417830,18,,"",,"","A. Ait Boudlal","",48,https://media.api-sports.io/football/players/417830.png,Defender,94
418333,18,,"",,"","E. Scaramelli","",53,https://media.api-sports.io/football/players/418333.png,Midfielder,1579
418846,18,,"",,"","D. De Battisti","",71,https://media.api-sports.io/football/players/418846.png,Defender,504
419423,19,,"",,"","A. Manzoni","",46,https://media.api-sports.io/football/players/419423.png,Midfielder,499
419583,18,,"",,"","T. Diallo","",35,https://media.api-sports.io/football/players/419583.png,Midfielder,95
419584,18,,"",,"","J. Tincres","",,https://media.api-sports.io/football/players/419584.png,Attacker,91
419627,18,,"",,"","O. Raterink","",33,https://media.api-sports.io/football/players/419627.png,Midfielder,168
419912,20,,"",,"","O. Sadik","",32,https://media.api-sports.io/football/players/419912.png,Attacker,540
420351,17,,"",,"","Elias  Benkara","",,https://media.api-sports.io/football/players/420351.png,Defender,165
420932,20,,"",,"","F. Turay","",23,https://media.api-sports.io/football/players/420932.png,Attacker,202
421807,21,,"",,"","M. Moreno","",22,https://media.api-sports.io/football/players/421807.png,Defender,502
421875,18,,"",,"","S. Cherif","",11,https://media.api-sports.io/football/players/421875.png,Attacker,77
422152,18,,"",,"","L. Tosto","",31,https://media.api-sports.io/football/players/422152.png,Defender,511
422156,16,,"",,"","M. Palma","",16,https://media.api-sports.io/football/players/422156.png,Defender,494
422407,19,,"",,"","Mayssam Benama","",47,https://media.api-sports.io/football/players/422407.png,Midfielder,91
422572,19,,"",,"","K. Shiogai","",9,https://media.api-sports.io/football/players/422572.png,Attacker,413
422595,19,,"",,"","L. Zogbe","",12,https://media.api-sports.io/football/players/422595.png,Defender,106
425207,17,,"",,"","M. Courcoul","",5,https://media.api-sports.io/football/players/425207.png,Defender,77
425585,20,,"",,"","O. Braude","",45,https://media.api-sports.io/football/players/425585.png,Midfielder,210
425819,20,,"",,"","G. Zechiël","",24,https://media.api-sports.io/football/players/425819.png,Midfielder,209
425821,20,,"",,"","N. Fichtinger","",34,https://media.api-sports.io/football/players/425821.png,Midfielder,193
426312,22,,"",,"","O. Demir","",17,https://media.api-sports.io/football/players/426312.png,Attacker,205
427274,21,,"",,"","M. Witteveen","",28,https://media.api-sports.io/football/players/427274.png,Midfielder,210
427736,19,,"",,"","Gustavo Gomes","",39,https://media.api-sports.io/football/players/427736.png,Attacker,55
428077,19,,"",,"","H. Kuster","",29,https://media.api-sports.io/football/players/428077.png,Midfielder,415
428228,19,,"",,"","M. Brezzo","",22,https://media.api-sports.io/football/players/428228.png,Goalkeeper,503
429024,20,,"",,"","N. Martens","",40,https://media.api-sports.io/football/players/429024.png,Goalkeeper,205
